,train loss,true loss,val acc
149,434.8880087733269,525.088903427124,0.468
150,435.76728880405426,525.6319528222084,0.474
151,434.41982185840607,525.0082638859749,0.4665
152,433.8191319704056,520.372217297554,0.476
153,433.3002544641495,523.8872100114822,0.467
154,434.2595952153206,521.2816345691681,0.4685
155,432.77406162023544,522.8006365299225,0.4715
156,432.7951308488846,519.202531516552,0.4745
157,432.1794172525406,521.7263226509094,0.466
158,432.16364800930023,522.2141450047493,0.4695
159,431.8269352912903,521.2253264784813,0.4725
160,431.0245060324669,521.2853230834007,0.474
161,431.55863642692566,521.5720950961113,0.476
162,430.21474492549896,521.0808945298195,0.4655
163,430.25288462638855,523.0567424297333,0.463
164,429.656186401844,521.7097477316856,0.4695
165,430.79538226127625,516.6139255166054,0.4735
166,428.1600033044815,520.9763441681862,0.47
167,429.3457976579666,522.5329604744911,0.474
168,429.6125659942627,520.9958919882774,0.4675
169,429.3961368203163,523.521197617054,0.4685
170,428.7244807481766,520.2315773963928,0.469
171,427.80084919929504,517.2464110255241,0.4775
172,427.7076871395111,518.2299226522446,0.474
173,427.79242074489594,519.8378546237946,0.4665
174,426.5180031657219,518.1213491559029,0.471
175,427.7696521282196,516.7916195392609,0.4775
176,427.6187668442726,520.8838702440262,0.4735
177,425.9696295261383,519.0507454276085,0.467
178,426.83171540498734,516.7537098526955,0.471
179,425.48027604818344,515.1941624283791,0.4745
180,426.02121579647064,515.3377172350883,0.476
181,424.1788034439087,515.8732625246048,0.469
182,425.45032131671906,513.3899926543236,0.475
183,426.1090847849846,513.4907436966896,0.476
184,424.4993200302124,514.7641410827637,0.474
185,425.4141743183136,517.3809764385223,0.486
186,423.6051109433174,515.792923271656,0.4725
187,424.1108605861664,513.3095663785934,0.4685
188,424.46642833948135,515.3851828575134,0.4675
189,423.42109632492065,513.0747301578522,0.4745
190,422.67139887809753,511.92278134822845,0.4805
191,422.3816619515419,511.6384045481682,0.477
192,422.67175334692,513.4377670884132,0.4675
193,421.58573454618454,511.0434560775757,0.469
194,424.2844244837761,509.09742349386215,0.468
195,421.9792515039444,509.7390668988228,0.4715
196,421.18112820386887,510.3711983561516,0.476
197,421.41953724622726,510.92277348041534,0.4685
198,419.6368542909622,512.1840436458588,0.472
199,419.8395276069641,509.4164810180664,0.474
200,420.7128501534462,509.4238607287407,0.4745
201,421.17863392829895,510.64251655340195,0.474
